absorb			/ Eb5sR:b/  vt.吸收；使专心
rid			/ rid/  vt.使摆脱，使去掉
ridge			/ ridV/  n.脊；岭，山脉；垄
ridiculous		/ ri5dikjulEs/  a.荒谬的，可笑的
rifle			/ 5raifl/  n。步枪,来复枪
rigid			/ 5ridVid/  a。刚硬的；僵硬的
risk			/ risk/  n.风险，危险，冒险
rival			/ 5raivEl/  n。竞争者 a。竞争的
roar			/ rR:/  vi.吼叫；呼喊 n。吼
roast			/ rEust/  vt。&vi.烤，炙，烘
rob			/ rRb/  vt。&vi.抢劫；劫掠
robot			/ 5rEubRt/  n.机器人；自动机
rock			/ rRk/  vt.摇，使动摇 vi。摇
rock			/ rRk/  n。岩,岩石；石头
rod			/ rRd/  n.杆,竿，棒
roller			/ 5rEulE/  n.滚柱，滚筒,滚轴
Roman			/ 5rEumEn/  n。古罗马人 a.罗马的
romantic		/ rEu5mAntik/  a.浪漫的;传奇的
rope			/ rEup/  n。绳，索
rotary			/ 5rEutEri/  a。旋转的，转动的
rotate			/ rEu5teit/  vi.旋转 vt。使旋转
rotation		/ rEu5teiFEn/  n.旋转，转动；循环
rotten			/ 5rRtn/  a。腐烂的,发臭的
rough			/ rQf/  a。表面不平的;粗略的
rouse			/ rauz/  vt.唤醒，唤起；惊起
route			/ ru：t/  n.路，路线，路程
routine		/ ru:5ti:n/  n.例行公事 a。日常的
row			/ rEu/  vt。划(船等） vi.划船
royal			/ 5rRiEl/  a。王的；皇家的
rub			/ rQb/  vt。摩擦，擦 vi.摩擦
rubber			/ 5rQbE/  n.橡皮(擦子);橡胶
rug			/ rQg/  n。小地毯；毛毯
ruin			/ 5ruin/  n.毁灭；废墟 vt.毁坏
rumour			/ 5ru：mE/  n。谣言,谣传，传闻
rural			/ 5ruErEl/  a.农村的，田园的
rust			/ rQst/  n.锈 vi。生锈，氧化
sack			/ sAk/  n.袋，麻袋；开除
sacrifice		/ 5sAkrifais/  n.&vt.牺牲；南祭
saddle			/ 5sAdl/  n.鞍子，马鞍
sake			/ seik/  n。缘故，理由
salary			/ 5sAlEri/  n.薪金，薪水
satisfactory		/ sAtis5fAktEri/  a。令人满意的，良好的
saucer			/ 5sR：sE/  n。茶托，浅碟
sausage		/ 5sRsidV/  n。香肠，腊肠
scale			/ skeil/  n.天平，磅秤,秤
scale			/ skeil/  n.标度；比例；大小
scan			/ skAn/  vt.细看；浏览;扫描
scarce			/ skZEs/  a.缺乏的；希有的
scarcely		/ 5skZEsli/  ad.仅仅；几乎不
scare			/ skZE/  vt。惊吓 vi.受惊
scatter		/ 5skAtE/  vt.使消散；撒；散播
scene			/ si：n/  n.发生地点；道具
scenery		/ 5si:nEri/  n.舞台布景；风景
schedule		/ 5Fedju：l/  n.时间表;计划表
scheme			/ ski：m/  n。计划，规划；诡计
scholar		/ 5skRlE/  n。学者（尤指文学方面)
scholarship		/ 5skRlEFip/  n。学业成绩；奖学金
scissors		/ 5sizEz/  n.剪刀，剪子
scold			/ skEuld/  vi。责骂 vt。申斥
scope			/ skEup/  n。范围；余地，机会
scout			/ skaut/  n。侦察员，侦察机
scrape			/ skreip/  vt.＆vi。&n.刮,擦
scratch		/ skrAtF/  vt.＆vi.＆n。搔；抓
scream			/ skri：m/  vi.尖叫；呼啸
screen			/ skri：n/  n。屏；屏幕 vt。掩蔽
screw			/ skru:/  n.螺旋，螺丝 vt。拧紧
seal			/ 5si:l/  n。封蜡;印记 vt。封
seal			/ 5si:l/  n.海豹
secondary		/ 5sekEndEri/  a.第二的;次要的
secretary		/ 5sekrEtri/  n。秘书；书记;大臣
section		/ 5sekFEn/  n.切片;一段;部门
secure			/ si5kjuE/  a.安心的；安全的
security		/ si5kjuEriti/  n。安全，安全感
seek			/ si:k/  vt。寻找，探索；试图
seize			/ si：z/  vt.抓住，逮捕；夺取
select			/ si5lekt/  vt。＆vi.选择，挑选
selection		/ si5lekFEn/  n。选择，挑选；精选物
selfish		/ 5selfiF/  a。自私的,利己的
semester		/ sE5mestE/  n.半年;学期，半学年
semiconductor		/ semikEn5dQktE/  n。半导体
senate			/ senit/  n。参议院，上院
senior			/ 5si:njE/  a.年少的；地位较高的
sensible		/ 5sensEbl/  a.感觉得到的；明智的
sensitive		/ 5sensitiv/  a.敏感的；灵敏的
sequence		/ 5si：kwEns/  n。连续，继续；次序
series			/ 5siEri：z/  n.连续，系列；丛书
session		/ 5seFEn/  n。会议，一段时间
setting		/ 5setiN/  n.安装，调整；环境
settle			/ 5setl/  vt.安排;安放;调停
settlement		/ 5setlmEnt/  n。解决;殖民,殖民地
severe			/ si5viE/  a.严格的；严厉的
sew			/ sEu/  vt.缝制 vi.缝纫
shallow		/ 5FAlEu/  a.浅的；浅薄的
share			/ FZE/  n。份;份额；股份
shave			/ Feiv/  vt。剃，刮 vi。修面
shear			/ FiE/  vt.剪；剥夺 vi。剪
shed			/ Fed/  vt.流出；散发；脱落
shed			/ Fed/  n。棚,小屋；贷棚
shelter		/ 5FeltE/  n.隐蔽处；掩蔽，庇护
shield			/ Fi：ld/  n.盾；防护物 vt。保护
shift			/ Fift/  vt.替换,转移 n。转换
shiver			/ 5FivE/  vi。颤抖，哆嗦 n.冷颤
shortage		/ 5FR:tidV/  n.不足，缺少，不足额
shortcoming		/ FR：tkQmiN/  n。短处，缺点
shoulder		/ 5FEuldE/  n。肩，肩膀;挑起
shower			/ 5FEuE， 5FauE/  n。阵雨;（一）阵；淋浴
shriek			/ Fri：k/  vi。尖声喊叫 n.尖叫声
shrink			/ Frink/  vi.收缩；缩小；退缩
sick			/ sik/  a.有病的；恶心的
sideways		/ 5saidweiz/  ad.斜着，斜向一边地
sigh			/ sai/  n。&vi.叹气,叹息
sightseeing		/ 5saitsi:iN/  n.观光，游览
signature		/ 5signitFE/  n。署名，签字，签名
significance		/ sig5nifikEns/  n.意义，意味；重要性
significant		/ sig5nifikEnt/  n。有意义的；重要的
silly			/ 5sili/  a.傻的，愚蠢的
simplicity		/ sim5plisiti/  n.简单，简易；朴素
simplify		/ 5simplifai/  vt.简化,使单纯
sincere		/ sin5siE/  a。真诚的；真挚的
singular		/ 5siNgjulE/  a。单一的；非凡的
site			/ sait/  n。地点,地基；场所
sketch			/ sketF/  n.略图；速写;概略
skillful		/ 5skilful/  a。灵巧的，娴熟的
skim			/ skim/  vt.掠过,擦过；略读
slam			/ slAm/  vt.使劲关，砰地放下
sleeve			/ sli：v/  n.袖子，袖套
slender		/ 5slendE/  a.细长的;微薄的
slice			/ slais/  n.薄片，切片；部分
slide			/ slaid/  vi.滑 vt.使滑动 n.滑
slight			/ slait/  a。细长的；轻微的
slip			/ slip/  vi.滑跤；滑落；溜
slippery		/ 5slipEri/  a.滑的，使人滑跤的
slit			/ slit/  n.裂缝 vt.切开,撕开
slope			/ slEup/  n。倾斜；斜面 vi.倾斜
smart			/ sma:t/  a.巧妙的;洒脱的
soak			/ sEuk/  vt。浸，泡 vi。浸泡
so-called		/ 5sEu5kR:ld/  a.所谓的，号称的
socialism		/ 5sEuFElizEm/  n.社会主义
socialist		/ 5sEuFElist/  a。社会主义的
sock			/ sRk/  n。短袜
soda			/ 5sEudE/  n。碳酸钠，纯碱；汽水
soil			/ sRil/  n.泥土，土壤，土地
soil			/ sRil/  vt.弄脏 vi。变脏
solar			/ 5sEulE/  a。太阳的，日光的
sole			/ sEul/  n。脚底,鞋底，袜底
sole			/ sEul/  a.单独的，唯一的
solemn			/ 5sRlEm/  a。庄严的;隆重的
solid			/ 5sRlid/  a。固体的 n.固体
soluble		/ 5sRljubl/  a。可溶的；可以解决的
solution		/ sE5lju：FEn/  n。解决，解答；溶解
somewhat		/ 5sQmwRt/  pron.一点儿 ad.有点
sophisticated		/ sE5fistikeitid/  a.老于世故的；高级的
sore			/ sR:/  a。痛的；恼火的 n.疮
sorrow			/ 5sRrEu/  n。悲痛，悲哀，悲伤
sort			/ sR：t/  n.种类；类别 vt。整理
soul			/ sEul/  n.灵魂；精神；人
sound			/ saund/  a。健康的；完好的
sound			/ saund/  n.声音 vi。响，发声
sour			/ 5sauE/  a。酸的;脾气坏的
source			/ sR：s/  n.河的源头；根源
spade			/ speid/  n。铲，铁锹
span			/ spAn/  n。跨距；一段时间
spare			/ spZE/  vt.节约 a。多余的
spark			/ spa：k/  n.火花,火星
speaker		/ 5spi:kE/  n.说话者；扬声器
specialist		/ speFElist/  n。专家
specialize		/ 5speFElaiz/  vi.成为…专家;专攻
specific		/ spi5sifik/  a。特有的;具体的
specify		/ 5spesifai/  vi.指定，详细说明
specimen		/ 5spesimin/  n。样本，标本，样品
sphere			/ sfiE/  n.球,圆体;范围
spill			/ spil/  vt.使溢出 vi。溢出
spin			/ spin/  vt。纺；使旋转 n。旋转
spiritual		/ 5spiritjuEl/  a.精神的，心灵的
spit			/ spit/  vi.吐 vi。吐唾沫
spite			/ spait/  n。 恶意,怨恨，不顾 vt. 刁难,欺侮
splendid		/ 5splendid/  a。壮丽的；显著的
split			/ split/  vt。劈开 vi。被劈开
spoil			/ spRil/  vt。损坏,糟蹋；宠坏
sponsor		/ 5spRnsE/  n.发起者 vt。发起
spoon			/ spu：n/  n。匙，调羹
spray			/ sprei/  n。浪花;喷雾 vt。喷
spread			/ spred/  vt.伸开;传播 n。传播
spring			/ spriN/  vi。跳，跃 n。跳跃;泉
spur			/ spE：/  n。刺激物 vt.刺激
squeeze		/ 5skwi:z/  vt.＆vi.榨，挤；压榨
stability		/ stE5biliti/  n.稳定，稳定性,巩固
stable			/ 5steibl/  a.稳定的，不变的
stable			/ 5steibl/  n。厩，马厩，牛棚
stack			/ stAk/  n。堆，垛 vt。堆积
staff			/ sta:f/  n。工作人员;参谋
stain			/ stein/  vt.沾污；给…着色
stake			/ steik/  n.桩；赌金；奖品
stale			/ steil/  n。陈腐的；走了气的
standpoint		/ 5stAndpRint/  n.立场，观点
starve			/ sta：v/  vi。饿死 vt。使饿死
state			/ steit/  n.状态；国家；州
state			/ steit/  vt。陈述，说明，阐明
statement		/ 5steitmEnt/  n.陈述，声明
static			/ 5stAtikl/  a.静的；静态的
station		/ 5steiFEn/  n.站，台，所，局
statistical		/ stE5tistikl/  a。统计的，统计学的
statue			/ 5stAtju:/  n。塑像，雕像，铸像
status			/ 5steitEs/  n.地位，身分
steady			/ 5stedi/  a。稳固的 vt。使稳定
steal			/ sti:l/  vt.偷,窍取
steamer		/ 5sti：mE/  n。轮船,汽船
steel			/ 5sti：l/  n.钢，钢铁
steep			/ sti：p/  a.险峻的，陡峭的
steer			/ stiE/  vt。＆vi。驾驶
stem			/ stem/  n.茎,(树）干 vi。起源
stick			/ stik/  n。棍,棒 vt.刺；粘贴
sticky			/ 5stiki/  a.粘性的;胶粘的
stiff			/ stif/  a.硬的;僵直的
still			/ stil/  a。静止的 n.寂静
stimulate		/ 5stimjuleit/  vt。刺激，激励，激发
sting			/ stiN/  vt。刺;刺痛 vi。&n.刺
stir			/ stE:/  vt.动；拨动；激动
stock			/ stRk/  n。原料；库存品；股本
stocking		/ 5stRkiN/  n.长(统)袜
stoop			/ stu:p/  vi。俯身；弯身 n.弯腰
storey			/ 5stR:ri/  n.（层）楼
stove			/ stEuv/  n.炉,火炉，电炉
straight		/ streit/  a。直的；正直的 ad.直
strain			/ 5strein/  vt.拉紧 vi。尽力
strap			/ strAp/  n。带子 vt.捆扎
strategy		/ 5strAtidVi/  n.战略；策略
straw			/ strR：/  n.稻草,麦杆吸管
stream			/ stri:m/  n.河；流 vi.&vt。流
strength		/ streNW/  n.力,力量，力气
strengthen		/ 5streNWEn/  vt。加强,巩固
stress			/ stres/  n。压力;重音 vt.着重
stretch		/ stretF/  vt。伸展 vi.伸 n.伸展
strike			/ straik/  vt.&vi.打，击 n.罢工
string			/ striN/  n.线，细绳;一串
strip			/ strip/  vt。剥;夺去 n.条带
stripe			/ straip/  n。条纹，条子
stroke			/ strEuk/  n.打，击；鸣声;中风
stroke			/ strEuk/  vt.&n。抚,摩，捋
structural		/ 5strQktFErEl/  a.结构的，构造的
structure		/ 5strQktFE/  n。结构;构造 vt。建造
stuff			/ stQf/  n。材料 vt。装，填，塞
submarine		/ 5sQbmEri：n/  a。水下的 n。潜水艇
submerge		/ sQb5mE：dV/  vt.浸没 vi。潜入水中
submit			/ sQb5mit/  vt。使服从 vi。服从
subsequent		/ 5sQbsikwEnt/  a.随后的，后来的
substance		/ 5sQbstEns/  n.物质；实质；本旨
substantial		/ sEb5stAnFEl/  a.物质的；坚固的
substitute		/ 5sQbstitju:t/  n.代替人 vt。用…代替
subtract		/ sEb5trAkt/  vt.减,减去,去掉
suburb			/ 5sQbE:b/  n。郊区，郊外，近郊
succeed		/ sEk5si：d/  vt.继…之后 vi.成功
succession		/ sEk5seFEn/  n。连续；继任，继承
successive		/ sEk5sesiv/  a。连续的;接连的
sufficient		/ sE5fiFEnt/  a.足够的,充分的
suit			/ sju:t/  n。起拆，诉讼 vt。适合
sulfur			/ 5sQlfE/  n。硫(磺）,硫黄
sulphur		/ 5sQlfE/  n.硫（磺），硫黄
sum			/ sQm/  n.总数；金额 vi.共计
summarize		/ 5sQmEraiz/  vt.概括，概述，总结
summary		/ 5sQmEri/  n。摘要，概要，一览
superficial		/ sju：pE5fiFEl/  a。表面的；肤浅的
superior		/ sju:5piEriE/  a。较高的；优越的
supplement		/ 5sQplimEnt/  n。&vt。增补，补充
supreme		/ sju：5pri:m/  a。最高的；最大的
sure			/ FuE/  a.确信的；确实的
surgery		/ 5sE:dVEri/  n。外科,外科手术
surrender		/ sE5rendE/  vt。交出 vi.投降
surround		/ sE5raund/  vt。围,围绕，圈住
surroundings		/ sE5raundiNz/  n.周围的事物，环境
survey			/ sE:5vei/  vt。俯瞰；检查；测量
suspect		/ sEs5pekt, 5sQspekt/  vt.怀疑 vi.疑心
suspend		/ sEs5pend/  vt。吊，悬;推迟
suspicion		/ sEs5piFEn/  n。怀疑,疑心，猜疑
sustain		/ sEs5tein/  vt.支撑;供养；忍受
swallow		/ 5swRlEu/  n。燕子
swallow		/ 5swRlEu/  vt.&vi.吞下，咽下
sway			/ swei/  vi。摇动 vt。摇；摇动
swear			/ swZE/  vt.宣（誓） vi.诅咒
sweat			/ swet/  n.汗 vi。出汗
swell			/ swel/  vi.膨胀；隆起；增长
swift			/ swift/  a。快的；反应快的
swing			/ swiN/  vi。摇摆;回转 n.摇摆
switch			/ switF/  n。开关;转换 vt.转换
sword			/ sR：d/  n.剑,刀
symbol			/ 5simbEl/  n。象征;符号，记号
sympathetic		/ simpE5Wetik/  a.同情的；和谐的
sympathize		/ 5simpEWaiz/  vi。同情；同感，共鸣
sympathy		/ 5simpEWi/  n.同情；一致,同感
synthetic		/ sin5Wetik/  a。综合的；合成的
systematic(al)		/ sisti5mAtik(El)/  a。有系统的；有计划的
tag			/ tAg/  n。附加语；标签
tail			/ teil/  n。尾巴;末尾部分
tailor			/ 5teilE/  n。裁缝 vt.裁制衣服
tale			/ teil/  n.故事，传说
talent			/ 5tAlEnt/  n。天才；才能；人才
tame			/ teim/  a.驯服的;顺从的
tank			/ tANk/  n.坦克；大容器，槽
tap			/ tAp/  vt.＆vi.＆n.轻叩
tap			/ tAp/  n.塞子；龙头 vt。开发
target			/ 5ta：git/  n。靶，标的;目标
technical		/ 5teknikEl/  a。技术的，工艺的
technician		/ tek5niFEn/  n。技术员,技师
technique		/ tek5ni：k/  n.技术,技巧；技能
technology		/ tek5nRlEdVi/  n。工艺学，工艺,技术
tedious		/ 5ti:diEs/  a。冗长乏味的,沉闷的
telescope		/ 5teliskEup/  n。望远镜
temper			/ 5tempE/  n。韧度；心情，情绪
temple			/ 5templ/  n。圣堂，神殿，庙宇
temporary		/ 5tempErEri/  a。暂时的，临时的
tempt			/ tempt/  vt。引诱，诱惑；吸引
temptation		/ temp5teiFEn/  n。诱惑，引诱
tend			/ tend/  vt.照管，照料,护理
tend			/ tend/  vi.走向,趋向;倾向
tendency		/ 5tendEnsi/  n.趋向,趋势，倾向
tender			/ 5tendE/  a.嫩的；脆弱的
tense			/ tens/  a.拉紧的，绷紧的
tension		/ 5tenFEn/  n. 紧张,不安,拉紧，张力
terminal		/ 5tE:minl/  a.末端的 n.末端
territory		/ 5teritEri/  n。领土,版图；领域
terror			/ 5terE/  n.恐怖，惊骇
textile		/ 5tekstail/  n.纺织品 a.纺织的
theatre		/ 5WiEtE/  n.戏院；戏剧；教室
theoretical		/ WiE5retikEl/  a。理论（上）的
theory			/ 5WiEri/  n.理论；学说；意见
thereby		/ 5TZE5bai/  ad。因此，从而，由此
thermometer		/ WE5mRmitE/  n。温度计,寒暑表
thickness		/ 5Wiknis/  n.厚(度）；密（度）
thirsty		/ 5WE：sti/  a.渴的；渴望的
thorough		/ 5WQrE/  a。彻底的；详尽的
thoughtful		/ 5WR：tful/  a.沉思的；体贴的
thread			/ Wred/  n.线；丝；螺纹；头绪
threat			/ Wret/  n。威胁,恐吓,凶兆
threaten		/ 5Wretn/  vt。＆vi。威胁，恐吓
thrive			/ Wraiv/  vi.兴旺，繁荣，旺盛
thrust			/ WrQst/  vt.插，刺 n.插；讽刺
thumb			/ WQm/  n.(大)拇指
thunder		/ 5WQndE/  n。雷 vi。打雷 vt。吼出
tide			/ taid/  n。潮，潮汐；潮流
tidy			/ 5taidi/  a.整洁的；整齐的
tight			/ tait/  a.紧的；紧身的
tire			/ 5taiE/  vi。疲劳,累；厌倦
tissue			/ 5tisju:/  n。薄绢；薄纸；组织
title			/ 5taitl/  n.标题，题目;称号
toast			/ tEust/  n。烤面包 vt.烘，烤
toast			/ tEust/  n.祝酒；祝酒词
tobacco		/ tE5bAkEu/  n。烟草，烟叶
toe			/ tEu/  n。脚趾,足尖
tolerance		/ 5tRlErEns/  n。忍受，容忍;公差
tolerate		/ 5tRlEreit/  vt.忍受，容忍，宽恕
tone			/ tEun/  n.音；腔调;声调
tongue			/ tQN/  n。舌，舌头；语言
torch			/ tR：tF/  n。火炬，火把；手电筒
torture		/ 5tR:tFE/  n。拷问；折磨 vt.拷打
tough			/ tQf/  a.坚韧的；健壮的
towel			/ 5tauEl/  n.毛巾，手巾
trace			/ treis/  n。痕迹；丝毫 vt.跟踪
track			/ trAk/  n。行踪；路径；轨道
tractor		/ 5trAktE/  n。拖拉机；牵引车
tradition		/ trE5diFEn/  n。传统，惯例
tragedy		/ 5trAdVidi/  n.悲剧；惨事,惨案
trail			/ treil/  n。痕迹；小径 vt.跟踪
train			/ trein/  vt。培养 n.列车；队列
training		/ 5treiniN/  n。训练，锻炼，培养
transfer		/ trAns5fE:/  vt.转移；调动vi。转移
transform		/ trAns5fR:m/  vt。改变；改造;变换
transformation		/ trAnsfE5meiFEn/  n.变化；改造；转变
transformer		/ trAns5fR:mE/  n.变压器，转换器
transistor		/ trAn5sistE/  n.晶体管
transmission		/ trAnz5miFEn/  n。传送；传动;发射
transmit		/ trAnz5mit/  vt。传送,传达;发射
transparent		/ trAns5pZErEnt/  a.透明的;易识破的
trap			/ trAp/  n.陷阱；诡计 vt.诱骗
tray			/ trei/  n.（浅)盘，托盘，碟
treaty			/ 5tri:ti/  n.条约；协议,协定
tremble		/ 5trembl/  vi.发抖，哆嗦；摇动
tremendous		/ tri5mendEs/  a。极大的,非常的
trend			/ trend/  vi.伸向；倾向 n。倾向
trial			/ 5traiEl/  n.试，试验；审判
triangle		/ 5traiAngl/  n.三角(形)
trick			/ trik/  n。诡计；窍门 vt。哄骗
trim			/ trim/  a.整齐的 vt.使整齐
triumph		/ 5traiEmf/  n.凯旋；胜利 vi.成功
troop			/ tru：p/  n.军队；一群,大量
tropical		/ 5trRpikEl/  a.热带的
troublesome		/ 5trQblsEm/  a.令人烦恼的；麻烦的
trumpet		/ 5trQmpit/  n。喇叭,小号
trunk			/ trQNk/  n。树干;大衣箱，皮箱
tube			/ tju：b/  n.管;电子管，显像管
tune			/ tju:n/  n。调子；和谐 vt.调谐
tunnel			/ 5tQnl/  n。隧道，坑道，地道
turbine		/ 5tE:bin/  n。叶轮机，汽轮机
twentieth		/ 5twentiiW/  num。第二十
twist			/ twist/  vt。捻；拧 vi.＆n。扭弯
typical		/ 5tipikEl/  a.典型的，代表性的
typist			/ 5taipist/  n。打字员
tyre			/ 5taiE/  n。轮胎，车胎
ultimate		/ 5Qltimit/  a.最后的，最终的
umbrella		/ Qm5brelE/  n。伞,雨伞
unconscious		/ Qn5kRFEs/  a。不省人事的
uncover		/ Qn5kQvE/  vt。揭开…的盖子
undergo		/ QndE5gEu/  vt.经历，经受，忍受
undergraduate		/ QndE5grAdjuit/  n。大学肆业生
underground		/ 5QndEgraund/  a。地下的；秘密的
underneath		/ QndE5ni:W/  ad.在下面，在底下
undertake		/ QndE5teik/  vt。从事；承担；保证
undo			/ 5Qn5du:/  vt.解开,打开；取消
undoubtedly		/ Qn5dautidli/  ad.无容置疑，肯定地
uneasy			/ Qn5i:zi/  a。心神不安的,忧虑的
unexpected		/ 5Qniks5pektid/  a.想不到的，意外的
unfortunately		/ Qn5fR：tFEnitli/  ad。不幸地
uniform		/ 5ju:nifR：m/  a。一样的 n。制服
union			/ 5ju:njEn/  n。联合;团结；协会
unique			/ ju:5ni：k/  a.唯一的,独一无二的
unity			/ 5ju:niti/  n。单一；统一；团结
universal		/ ju：ni5vE:sEl/  a.宇宙的;普遍的
universe		/ 5ju:nivE:s/  n.宇宙，世界
unlike			/ 5Qn5laik/  a.不同的 prep.不象…
unlikely		/ Qn5laikli/  a.未必的，未必可能的
unload			/ Qn5lEud/  vt。卸（货) vi。卸货
upper			/ 5QpE/  a。上面的；地位较高的
upright		/ 5Qprait/  a。垂直的；正直的
up—to-date		/ 5QptE5deit/  a.直到最近的，现代的
upward			/ 5QpwEd/  a.向上的，上升的
urban			/ 5E:bEn/  a。 都市的，住在都市的
urge			/ E：dV/  vt.推进；催促 n.冲动
urgent			/ 5E:dVEnt/  a.紧急的；强求的
utility		/ ju:5tiliti/  n。效用,有用，实用
utilize		/ 5ju：tilaiz/  vt。利用
utmost			/ 5QtmEust/  a.最远的 n。极限
utter			/ 5QtE/  a。完全的，彻底的
utter			/ 5QtE/  vt.发出，说，讲
vacant			/ 5veikEnt/  a。空的;未被占用的
vacuum			/ 5vAkjuEm/  n.真空；真空吸尘器
vague			/ veig/  a.模糊的，含糊的
vain			/ vein/  a。徒劳的;自负的
valid			/ 5vAlid/  a。有效的；正当的
valley			/ 5vAli/  n.（山）谷，溪谷；流域
van			/ vAn/  n.大篷车，运货车
vanish			/ 5vAniF/  vi.突然不见，消失
vapour			/ 5veipE/  n.汽,蒸气
variable		/ 5vZEriEbl/  a。易变的 n.变量
variation		/ vZEri5eiFEn/  n。变化，变动;变异
variety		/ vE5raiEti/  n.多样化;种类；变种
various		/ 5vZEriEs/  a。各种各样的，不同的
vary			/ 5vZEri/  vt.改变；使多样化
vehicle		/ 5vi:ikl/  n.车辆，机动车
velocity		/ vi5lRsiti/  n。速度,速率
venture		/ 5ventFE/  n.&vi。冒险 vt。敢于
verify			/ 5verifai/  vt.证实，查证；证明
version		/ 5vE：FEn/  n。译文;说法；改写本
vertical		/ 5vE：tikEl/  a.垂直的，竖式的
vessel			/ 5vesl/  n。容器；船，飞船；管
veteran		/ 5vetErEn/  n.老兵，老手
via			/ 5vaiE/  prep.经过;通过
vibrate		/ vai5breit/  vt.使颤动 vi.颤动
vice			/ vais/  n。罪恶；恶习；缺点
vice			/ vais/  n.（老）虎钳
victim			/ 5viktim/  n.牺牲者,受害者
victory		/ 5viktEri/  n.胜利,战胜
viewpoint		/ 5vju:pRint/  n。观点,看法，见解
vigorous		/ 5vigErEs/  a。朝气蓬勃的
vinegar		/ 5vinigE/  n.醋
violence		/ 5vaiElEns/  n.猛烈，激烈；暴力
violent		/ 5vaiElEnt/  a。猛烈的；狂暴的
violet			/ 5vaiElit/  n.紫罗兰
violin			/ vaiE5lin/  n.小提琴
virtually		/ 5vE:tjuEli/  ad.实际上，事实上
virtue			/ 5vE:tju：/  n。善;美德;优点
visible		/ 5vizEbl/  a.可见的，看得见的
vision			/ 5viVEn/  n.视；想象力；梦幻
visit			/ 5vizit/  vt。＆n。访问，参观
visitor		/ 5vizitE/  n。访问者;游客
visual			/ 5vizjuEl/  a。看的；看得见的
vital			/ 5vaitl/  a.生命的；有生命力的
vitamin		/ 5vitEmin/  n.维生素，维他命
vivid			/ 5vivid/  a。鲜艳的；生动的
volcano		/ vRl5keinEu/  n.火山
volt			/ vEult/  n.伏特，伏
voltage		/ 5vaultidV/  n。电压
volume			/ 5vRljum/  n。卷，册；容积;音量
voluntary		/ 5vRlEntEri/  a。自愿的，志愿的	
voyage			/ vRidV/  n。＆vi.航海,航空
wage			/ weidV/  n。工资，报酬
wage			/ weidV/  vt。开展(运动)
waggon			/ 5wAgEn/  n.四轮运货马车
waist			/ weist/  n。腰，腰部
wander			/ 5wRndE/  vi。漫游;迷路；离题
warmth			/ wR:mW/  n.暖和，温暖;热烈
waterproof		/ 5wR:tEpru:f/  a.不透水的，防水的
wax			/ wAks/  n.蜡,蜂蜡
wealth			/ welW/  n。财富，财产；丰富
wealthy		/ 5welWi/  a.富的，富裕的
weapon			/ 5wepEn/  n。武器，兵器
weave			/ 5wi:v/  vt。织,编 vi.纺织
weed			/ wi:d/  n。杂草，野草 vi。除草
weep			/ wi:p/  vi。哭泣，流泪
weld			/ weld/  vt.&n.焊接，熔接
welfare		/ 5welfZE/  n。幸福，福利
whilst			/ 5wailst/  conj.＆n。当…的时候
whip			/ wip/  vt.鞭笞；搅打 n.鞭子
wholly			/ 5hEuli/  ad.完全地，全部
wicked			/ 5wikid/  a.坏的;令人厌恶的
widespread		/ 5waidspred/  a.分布广的,普遍的
width			/ widW/  n.宽阔，广阔；宽度
willing		/ 5wiliN/  a。愿意的，心甘情愿的
wind			/ wind, waind/  n。风；气息，呼吸
wind			/ wind， waind/  vt。绕，缠绕 vi。卷曲
wing			/ wiN/  n。翼，翅膀，翅
wipe			/ waip/  vt。＆n。揩，擦
wire			/ 5waiE/  n.金属线；电缆；电信
wisdom			/ 5wizdEm/  n。智慧，才智；名言
wit			/ wit/  n.智力，才智，智能
withdraw		/ wiT5drR:/  vt。收回；撤回vi。撤退
withstand		/ wiT5stAnd/  vt.抵挡，反抗
witness		/ 5witnis/  n。证据；证人 vt。目击
wonder			/ 5wQndE/  n。惊异，惊奇；奇迹
wooden			/ 5wudn/  a.木制的；呆板的
workshop		/ 5wE:kFRp/  n.车间,工场；创作室
worm			/ wE:m/  n.虫,蠕虫
worship		/ 5wE：Fip/  n。礼拜；崇拜 vt.崇拜
worthless		/ 5wE:Wlis/  a.无价值的，无用的
worthwhile		/ 5wE：W5wail/  a.值得花时间的
worthy			/ 5wE：Ti/  a.有价值的;值得的
wound			/ wu：nd/  n.创伤，伤 vt。使受伤
wrap			/ rAp/  vt。裹，包，捆 n.披肩
wreck			/ rek/  n.失事；残骸 vt.破坏
wrist			/ rist/  n。腕，腕关节
yawn			/ jR:n/  vi。打呵欠 n。呵欠
yield			/ ji:ld/  vt.＆vi.出产 n.产量
zone			/ zEun/  n。地区,区域，范围


